,index,Tahun,Comments,preprocessed,tokenize_text,label,score
17,19,2023,Bang beli mie kocok tapi togenya aja 1 pake kuahnya kasih sambel 3 sendok. Tf 900 yaa ğ??ğ?¤­ğ??,bang beli mie kocok toge pakai kuah kasih sambel sendok tf ya wajah gembira dengan mata bahagia wajah dengan tangan tutup mulut wajah gembira dengan mata bahagia,"['bang', 'beli', 'mie', 'kocok', 'toge', 'pakai', 'kuah', 'kasih', 'sambel', 'sendok', 'tf', 'ya', 'wajah', 'gembira', 'dengan', 'mata', 'bahagia', 'wajah', 'dengan', 'tangan', 'tutup', 'mulut', 'wajah', 'gembira', 'dengan', 'mata', 'bahagia']",negatif,-1
18,20,2023,"  koh pengen ditraktir juga koh.. pengen beli baju buat mybaby yg baru lahir ğ??? Uda follow semua akun dr ig, tiktok dan ytubeğ???ğ??",koh pengin traktir koh pengin beli baju mybaby lahir wajah malaikat follow akun ig tiktok ytube wajah senyum lebar dan keringat lipat tangan,"['koh', 'pengin', 'traktir', 'koh', 'pengin', 'beli', 'baju', 'mybaby', 'lahir', 'wajah', 'malaikat', 'follow', 'akun', 'ig', 'tiktok', 'ytube', 'wajah', 'senyum', 'lebar', 'dan', 'keringat', 'lipat', 'tangan']",positif,6
19,21,2023,Para Yutuber" Indonesia berkumpul di Mall,yutuber indonesia kumpul mal,"['yutuber', 'indonesia', 'kumpul', 'mal']",netral,0
20,22,2023,Awal Bulan Agustus semoga dpt traktiran dari Ko    ğ?¤©ğ?¤©ğ?¤©,agustus moga traktir wajah dengan mata bentuk bintang wajah dengan mata bentuk bintang wajah dengan mata bentuk bintang,"['agustus', 'moga', 'traktir', 'wajah', 'dengan', 'mata', 'bentuk', 'bintang', 'wajah', 'dengan', 'mata', 'bentuk', 'bintang', 'wajah', 'dengan', 'mata', 'bentuk', 'bintang']",positif,7
21,23,2023,bang yudist hokii banget!!,bang yudist hoki banget,"['bang', 'yudist', 'hoki', 'banget']",netral,0
22,24,2023,Ka mau minta bantuan buat bayar uang semesteran kuliah anak saya saat ini syvlg tidak bekerja,kak bantu bayar uang semester kuliah anak syvlg,"['kak', 'bantu', 'bayar', 'uang', 'semester', 'kuliah', 'anak', 'syvlg']",negatif,-3
23,25,2023,  kl pake ilmuku nanti dibilang curangâ?¦ğ??¢,kalo pakai ilmu bilang curang wajah menang,"['kalo', 'pakai', 'ilmu', 'bilang', 'curang', 'wajah', 'menang']",negatif,-2
24,26,2023,"  Wah saya jadi pengen coba,makasih infonya mba nanti saya coba DM adminnya  .slim.id_",pengin coba terima kasih info mbak coba dm adminnya slimid,"['pengin', 'coba', 'terima', 'kasih', 'info', 'mbak', 'coba', 'dm', 'adminnya', 'slimid']",positif,2
25,27,2023,"  Relate bngt mba, saya di saranin sama temenku pake produk  .slim.id_ hasilnya badannya jadi body goals abis btw saya punya maag tapi ini nggak ngaruh sama sekali jadi aman dan tanpa efek samping mbağ??",relate banget mbak saran temenku pakai produk slimid hasil badan body goals habis btw maag ngaruh aman efek samping mbak wajah gembira dengan mata bahagia,"['relate', 'banget', 'mbak', 'saran', 'temenku', 'pakai', 'produk', 'slimid', 'hasil', 'badan', 'body', 'goals', 'habis', 'btw', 'maag', 'ngaruh', 'aman', 'efek', 'samping', 'mbak', 'wajah', 'gembira', 'dengan', 'mata', 'bahagia']",positif,4
26,28,2023,"  Iya kak bisa, kebetulan saya juga ngga bisa olahraga rutin saya orangnya mageran,tapi alhamdulillah bisa turun Bb saya 6 kg saya pake produk herbal dari  .slim.id_ udah gitu di kasih bimbingan juga kak",iya kak olahraga rutin orang mageran alhamdulillah turun b kg pakai produk herbal slimid kasih bimbing kak,"['iya', 'kak', 'olahraga', 'rutin', 'orang', 'mageran', 'alhamdulillah', 'turun', 'b', 'kg', 'pakai', 'produk', 'herbal', 'slimid', 'kasih', 'bimbing', 'kak']",positif,9
27,29,2023,  Seriusan mba? bisa ngilangin perut buncit?,serius mbak hilang perut buncit,"['serius', 'mbak', 'hilang', 'perut', 'buncit']",negatif,-6
28,30,2023,"  Saran saya coba mba pake produk  .slim.id_  produknya bagus mba bisa ngilangin perut buncit juga loh tanpa harus sedot lemak saya sudah cobain sendiri hasilnya emang bener2 bagus bngt di badan saya, produknya  .slim.id_ emng the best,semoga bisa bantu mba nya",saran coba mbak pakai produk slimid produk bagus mbak hilang perut buncit loh sedot lemak coba hasil benarbenar bagus banget badan produk slimid the best moga bantu mbak nya,"['saran', 'coba', 'mbak', 'pakai', 'produk', 'slimid', 'produk', 'bagus', 'mbak', 'hilang', 'perut', 'buncit', 'loh', 'sedot', 'lemak', 'coba', 'hasil', 'benarbenar', 'bagus', 'banget', 'badan', 'produk', 'slimid', 'the', 'best', 'moga', 'bantu', 'mbak', 'nya']",positif,5
29,31,2023,"Enak deh kayanya punya badan ramping dan langsing saya sudah coba olahraga teratur tapi BB masih ga turun turun,solusinya apa ya klo ada yang tau plis bntu dongg",enak deh kaya badan ramping langsing coba olahraga atur b turun turun solusi ya kalo tau plis bantu,"['enak', 'deh', 'kaya', 'badan', 'ramping', 'langsing', 'coba', 'olahraga', 'atur', 'b', 'turun', 'turun', 'solusi', 'ya', 'kalo', 'tau', 'plis', 'bantu']",negatif,-3
30,32,2023,Di panggil Willi Salim trus di semua org wkwk,panggil willi salim orang wkwk,"['panggil', 'willi', 'salim', 'orang', 'wkwk']",positif,3
31,33,2023,Ada bang   dibelakang pass bang    bilang emas beo ğ???ğ???,bang belakang pas bang bilang emas beo wajah gembira urai air mata wajah gembira urai air mata,"['bang', 'belakang', 'pas', 'bang', 'bilang', 'emas', 'beo', 'wajah', 'gembira', 'urai', 'air', 'mata', 'wajah', 'gembira', 'urai', 'air', 'mata']",positif,1
32,34,2023,Mau bli yudist d tf THR galungan,beli yudist tf thr galungan,"['beli', 'yudist', 'tf', 'thr', 'galungan']",negatif,-1
33,35,2023,"   gimana kak ,kami yg dri merauke GK prna dapat hadia dri kakağ??¢",kak merauke prna hadia kakak wajah menang,"['kak', 'merauke', 'prna', 'hadia', 'kakak', 'wajah', 'menang']",negatif,-1
34,36,2023,Bismillah hoki bang,bismillah hoki bang,"['bismillah', 'hoki', 'bang']",positif,4
35,37,2023,  kirain tukang sulap bisa nebak kartu ğ???,tukang sulap nebak kartu wajah senyum lebar dan keringat,"['tukang', 'sulap', 'nebak', 'kartu', 'wajah', 'senyum', 'lebar', 'dan', 'keringat']",negatif,-1
36,38,2023,"Aku mau dong Ko   semoga rejeki awal bulan , pengen ngerasain dapat uang jajan dari seorang konten kreator muda kaya raya royal humble",moga rejeki pengin rasai uang jajan konten kreator muda kayak raya royal humble,"['moga', 'rejeki', 'pengin', 'rasai', 'uang', 'jajan', 'konten', 'kreator', 'muda', 'kayak', 'raya', 'royal', 'humble']",positif,1
37,39,2023,Andai joker.. Dapet mobil tuh..,andai joker mobil tuh,"['andai', 'joker', 'mobil', 'tuh']",positif,3
38,40,2023,Komen pertama nih bang mau dong 1 permintaan,komen nih bang minta,"['komen', 'nih', 'bang', 'minta']",negatif,-1
39,43,2023,Dulunya g punya cewek. skrang sekali punya cewek  langsung banyak,dulunya cewek cewek langsung,"['dulunya', 'cewek', 'cewek', 'langsung']",positif,3
40,44,2023,Pinky dibsi lala pinky cuk,pinky dibsi lala pinky cuk,"['pinky', 'dibsi', 'lala', 'pinky', 'cuk']",positif,6
41,45,2023,"Bos Viral medsos membawa HARTA EMAS !! Semoga berkah, Tuhan memberkati   sebelumnya saya disabilitas Tuli",bos viral medsos bawa harta emas moga berkah tuhan kati disabilitas tuli,"['bos', 'viral', 'medsos', 'bawa', 'harta', 'emas', 'moga', 'berkah', 'tuhan', 'kati', 'disabilitas', 'tuli']",positif,6
42,46,2023,HARTA TAHTA RICCIE ğ???ğ??? STARBOY ğ???ğ???,harta tahta riccie mahkota mahkota starboy mahkota mahkota,"['harta', 'tahta', 'riccie', 'mahkota', 'mahkota', 'starboy', 'mahkota', 'mahkota']",netral,0
43,47,2023,HARTA TAHTA RICCIE ğ???ğ???ğ??? STARBOY WELL!! ,harta tahta riccie mahkota mahkota mahkota starboy wel,"['harta', 'tahta', 'riccie', 'mahkota', 'mahkota', 'mahkota', 'starboy', 'wel']",netral,0
44,49,2023,Berkah terus Kak   mau dong hape ipong nya kak,berkah kak hape ipong nya kak,"['berkah', 'kak', 'hape', 'ipong', 'nya', 'kak']",positif,4
45,50,2023,Cantik bgt kakaknya,cantik banget kakak,"['cantik', 'banget', 'kakak']",negatif,-2
46,51,2023,Khasiat nya biar lancar kalo cewek yg minum.lah ini lakiğ???ğ???ğ???ğ???ğ???#kelar tu burung ğ?¦,khasiat nya biar lancar kalo cewek minum laki wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata burung burung,"['khasiat', 'nya', 'biar', 'lancar', 'kalo', 'cewek', 'minum', 'laki', 'wajah', 'gembira', 'urai', 'air', 'mata', 'wajah', 'gembira', 'urai', 'air', 'mata', 'wajah', 'gembira', 'urai', 'air', 'mata', 'wajah', 'gembira', 'urai', 'air', 'mata', 'wajah', 'gembira', 'urai', 'air', 'mata', 'burung', 'burung']",negatif,-2
47,52,2023,bang baca PM,bang baca pm,"['bang', 'baca', 'pm']",positif,2
48,54,2023,Aku juga bakal minta diamond ffğ??¿,diamond f moa,"['diamond', 'f', 'moa']",positif,3
49,55,2023, .suwandi bang sehat?,suwandi bang sehat,"['suwandi', 'bang', 'sehat']",positif,3
50,56,2023,"pakean lu udah bolong bolong bang, dari pd beliin cewe mending beli baju lu dulu",pakean lu bolong bolong bang belikan cewek mending beli baju lu,"['pakean', 'lu', 'bolong', 'bolong', 'bang', 'belikan', 'cewek', 'mending', 'beli', 'baju', 'lu']",negatif,-7
51,58,2023,Sarah viloid forever young ğ?? aku sangat ngefans banget sama kmu ğ??â¤ï¸,sarah viloid forever young wajah senyum lebar mata hati fan banget wajah senyum lebar mata hati hati merah,"['sarah', 'viloid', 'forever', 'young', 'wajah', 'senyum', 'lebar', 'mata', 'hati', 'fan', 'banget', 'wajah', 'senyum', 'lebar', 'mata', 'hati', 'hati', 'merah']",negatif,-1
52,59,2023,Bismillah hp buat hadiah bini,bismillah hp hadiah bini,"['bismillah', 'hp', 'hadiah', 'bini']",positif,5
53,60,2023,Popokin wiskas klo cwe datang bulan,popokin wiskas kalo cewek,"['popokin', 'wiskas', 'kalo', 'cewek']",netral,0
54,61,2023,Bagi uangnya kak   200k ğ??,uang kak k lipat tangan,"['uang', 'kak', 'k', 'lipat', 'tangan']",positif,1
55,62,2023,Beruntung bnget itu mic,untung banget mic,"['untung', 'banget', 'mic']",positif,2
56,63,2023,"  kurang famous seperti dulu, jadi harus buka dulu biar rame",famous buka biar rame,"['famous', 'buka', 'biar', 'rame']",netral,0
57,65,2023,  mirip anjayy srius,anjay srius,"['anjay', 'srius']",negatif,-3
58,66,2023,  beda bgt lochh,beda banget loch,"['beda', 'banget', 'loch']",negatif,-2
60,68,2023,Abg ini kn y ikut take me out itu,abang ya take me out,"['abang', 'ya', 'take', 'me', 'out']",netral,0
61,69,2023,Si kembar udah mulai aktif ygy,sih kembar aktif ygy,"['sih', 'kembar', 'aktif', 'ygy']",negatif,-4
62,70,2023,"YUK MABAR DI AONCASH , KITA HABISKAN BANDAR, WEDE KAN SEBANYAK""NYA",yuk mabar aoncash habis bandar wede nya,"['yuk', 'mabar', 'aoncash', 'habis', 'bandar', 'wede', 'nya']",netral,0
63,71,2023,jual belahan dizaman now biar cuanğ???,jual bahan zaman now biar cuan wajah gembira urai air mata,"['jual', 'bahan', 'zaman', 'now', 'biar', 'cuan', 'wajah', 'gembira', 'urai', 'air', 'mata']",negatif,-3
64,73,2023,"halllo bosku bosan kalah melulu dan bingung buat main di situs mana
jangan pusing agent855k,net solusinya yang menyediakan segala permainan
terbaru dan terlengkap hanya dengan minimal deposit 20 anda
bisa merasakan sensasi bermain layaknya bermain di Casino tunggu
apalagi gabung sekarang juga bosku",halo bos bosan kalah melulu bingung main situs pusing agentk net solusi sedia main baru lengkap minimal deposit rasa sensasi main layak main casino tunggu gabung bos,"['halo', 'bos', 'bosan', 'kalah', 'melulu', 'bingung', 'main', 'situs', 'pusing', 'agentk', 'net', 'solusi', 'sedia', 'main', 'baru', 'lengkap', 'minimal', 'deposit', 'rasa', 'sensasi', 'main', 'layak', 'main', 'casino', 'tunggu', 'gabung', 'bos']",negatif,-18
65,74,2023,     merep erpan,merep erpan,"['merep', 'erpan']",netral,0
66,75,2023,"Cewe gue sarah yeet, lgi cantikk dehğ???",cewek gue sarah yeet cantik deh wajah beri cium dengan mata tutup,"['cewek', 'gue', 'sarah', 'yeet', 'cantik', 'deh', 'wajah', 'beri', 'cium', 'dengan', 'mata', 'tutup']",negatif,-6
67,76,2023,"Gabung Ke Wahanabolaorg Yukk Bosku
ada banyak promo menarik menunggu
klaim bonus dp hingga 400rb 
bonus kekalahan hingga 15%
depo pulsa tanpa potongan
Whatsapp: wa.me/6282110700795
#parlay #slotgacor #slotindonesia #kakekzeus #pulsatanpapotongan #wahanabola #bonus #freechip #freebet
#slotindo #slottergacor #antirungkat",gabung wahanabolaorg yuk bos promo tarik tunggu klaim bonus dp rb bonus kalah depo pulsa potong whatsap wame,"['gabung', 'wahanabolaorg', 'yuk', 'bos', 'promo', 'tarik', 'tunggu', 'klaim', 'bonus', 'dp', 'rb', 'bonus', 'kalah', 'depo', 'pulsa', 'potong', 'whatsap', 'wame']",negatif,-1
68,77,2023,"Tuh cowok kemaren kemaren ikutan Take Me Out Indonesia, skrg ko malah ngonten sama Sarah, emang nya ga cemburu apa itu ceweknya ? Apa jangan jangan acara Take Me Out cuma Settingan yah ? Naikin pamor doang ?",tuh cowok kemarin kemarin ikut take me out indonesia ngonten sarah nya cemburu cewek acara take me out settingan ya naikin pamor doang,"['tuh', 'cowok', 'kemarin', 'kemarin', 'ikut', 'take', 'me', 'out', 'indonesia', 'ngonten', 'sarah', 'nya', 'cemburu', 'cewek', 'acara', 'take', 'me', 'out', 'settingan', 'ya', 'naikin', 'pamor', 'doang']",negatif,-8
69,78,2023,Siapa yang mau bedonasi gol berapa juga,bedonasi gol,"['bedonasi', 'gol']",positif,3
70,80,2023,Aku folowers kaka mau minta bantuan aku bingung kerja abis kontrak punya utang 2 juta klw gak kebayar motor aku di sita pegadaian aku suka nontin konten konten kaka bisa minta tolong gak kaka aku kerjanya gajinya kecil 60 rb  bisa bantu dana 0895380228539,folowers kakak bantu bingung kerja habis kontrak utang juta bayar motor sita gadai suka nontin konten konten kakak tolong kakak kerja gaji ribu bantu dana,"['folowers', 'kakak', 'bantu', 'bingung', 'kerja', 'habis', 'kontrak', 'utang', 'juta', 'bayar', 'motor', 'sita', 'gadai', 'suka', 'nontin', 'konten', 'konten', 'kakak', 'tolong', 'kakak', 'kerja', 'gaji', 'ribu', 'bantu', 'dana']",negatif,-5
71,81,2023,"Sarah cantik banget woy,. Bismillah di TF duit ğ???",sarah cantik banget woy bismillah tf duit wajah gembira urai air mata,"['sarah', 'cantik', 'banget', 'woy', 'bismillah', 'tf', 'duit', 'wajah', 'gembira', 'urai', 'air', 'mata']",positif,1
72,82,2023,Ini mah richie yg ikutan take me outğ???ğ???,mah richie ikut take me out wajah gembira urai air mata wajah gembira urai air mata,"['mah', 'richie', 'ikut', 'take', 'me', 'out', 'wajah', 'gembira', 'urai', 'air', 'mata', 'wajah', 'gembira', 'urai', 'air', 'mata']",negatif,-5
73,83,2023,Tombol fokus ke toket nya>>>>,tombol fokus toket nya,"['tombol', 'fokus', 'toket', 'nya']",positif,1
74,84,2023, .suwandi  liat dia ustadz liat dia ğ???,suwandi lihat ustadz lihat wajah gembira urai air mata,"['suwandi', 'lihat', 'ustadz', 'lihat', 'wajah', 'gembira', 'urai', 'air', 'mata']",positif,8
75,87,2023,Byakugan ğ??ğ??,byakugan,['byakugan'],netral,0
76,88,2023,Rambut cwonya ğ??¥,rambut cwonya api,"['rambut', 'cwonya', 'api']",positif,2
77,89,2023,Gw kira sapiloid datang bulan anjir ğ???,gue sapiloid anjir wajah gembira urai air mata,"['gue', 'sapiloid', 'anjir', 'wajah', 'gembira', 'urai', 'air', 'mata']",negatif,-3
78,90,2023,Beda ceritanya kalau di kasih kesaya,beda cerita kasih saya,"['beda', 'cerita', 'kasih', 'saya']",negatif,-6
80,92,2023,Mending fokus yg ada hubungannya sama ngegame aja sih klu boleh kasih saran,mending fokus hubung ngegame sih kasih saran,"['mending', 'fokus', 'hubung', 'ngegame', 'sih', 'kasih', 'saran']",negatif,-2
81,93,2023,Naon sih ğ???,naon sih wajah senyum lebar dan keringat,"['naon', 'sih', 'wajah', 'senyum', 'lebar', 'dan', 'keringat']",negatif,-1
82,94,2023,Pokoknya di syukuri aja apa yg dilihat sekarang ğ???,pokok syukur wajah gembira urai air mata,"['pokok', 'syukur', 'wajah', 'gembira', 'urai', 'air', 'mata']",positif,4
83,95,2023,"Mangga2bet
Kumpulan Quetos Katabijak2u
Link Quetos : https://www.youtube.com/channel/UCZ6Fxwdp-e51kDZtmgnACcw
#mangga2bet #mg2bet #mangga2gacor #slotmangga2bet #katabijak2u #zonabasah_lelaki #zonamata",manggabet kumpul quetos katabijaku link quetos lelaki,"['manggabet', 'kumpul', 'quetos', 'katabijaku', 'link', 'quetos', 'lelaki']",netral,0
84,96,2023,Tombol--------------------> tombol,tombol tombol,"['tombol', 'tombol']",netral,0
85,97,2023, .d.yulian_ iya sih mending buat konten duet bucin aja sama teguh suwandi pasti lebih banyak yg view dan like,diyulian iya sih mending konten duet bucin teguh suwandi view like,"['diyulian', 'iya', 'sih', 'mending', 'konten', 'duet', 'bucin', 'teguh', 'suwandi', 'view', 'like']",negatif,-3
86,98,2023,Gw gagal fokus sama mic nyaa ğ?¤¦,gue gagal fokus mic nya orang tepuk jidat,"['gue', 'gagal', 'fokus', 'mic', 'nya', 'orang', 'tepuk', 'jidat']",negatif,-3
87,99,2023,Kapan bikin usaha ka,bikin usaha kak,"['bikin', 'usaha', 'kak']",negatif,-3
88,100,2023,"Awalnya bilang ga pernah pacaran, akhirnya ngomong punya cewek. Puncak Komedi ğ??¿",bilang pacar omong cewek puncak komedi moa,"['bilang', 'pacar', 'omong', 'cewek', 'puncak', 'komedi', 'moa']",negatif,-5
89,102,2023,Bismillah selalu hadir di sosial media bang rici semoga rejeki,bismillah hadir sosial media bang rici moga rejeki,"['bismillah', 'hadir', 'sosial', 'media', 'bang', 'rici', 'moga', 'rejeki']",positif,12
90,103,2023,  aku tau ap yg ada di pikiranmu,tau pikir,"['tau', 'pikir']",negatif,-1
91,104,2023,Dulu gk seperty itu,seperty,['seperty'],netral,0
92,105,2023,"Cewe kalo lagi pms pengen nyaa.... Ngamuk terus,marah marah gak jelas",cewek kalo pms pengin nya ngamuk marah marah,"['cewek', 'kalo', 'pms', 'pengin', 'nya', 'ngamuk', 'marah', 'marah']",negatif,-10
93,106,2023,Mantap belahannyağ??,mantap belah wajah senyum lebar mata hati,"['mantap', 'belah', 'wajah', 'senyum', 'lebar', 'mata', 'hati']",negatif,-1
94,108,2023,"Kita emang bukan adik kakak, bukan juga saudara,tapi kita satu pemikiran bro ğ??­ğ??­ğ??­",adik kakak saudara pikir bro wajah menang keras wajah menang keras wajah menang keras,"['adik', 'kakak', 'saudara', 'pikir', 'bro', 'wajah', 'menang', 'keras', 'wajah', 'menang', 'keras', 'wajah', 'menang', 'keras']",negatif,-4
95,109,2023,Pacar nya tah kak,pacar nya teh kak,"['pacar', 'nya', 'teh', 'kak']",netral,0
96,110,2023,Auto haid anjingğ???,auto haid anjing wajah gembira urai air mata,"['auto', 'haid', 'anjing', 'wajah', 'gembira', 'urai', 'air', 'mata']",negatif,-5
97,111,2023,tambah tambah ni,nih,['nih'],netral,0
98,112,2023,Cowo minum kiranti ngga bahaya,cowok minum kiranti bahaya,"['cowok', 'minum', 'kiranti', 'bahaya']",negatif,-8
99,113,2023,Kemaein di take me out jadi nikahan kaga banh,kemaein take me out nikah kagak banh,"['kemaein', 'take', 'me', 'out', 'nikah', 'kagak', 'banh']",negatif,-4
100,115,2023,Ya nama saling membantu sarah ğ??¸ğ???,ya nama bantu sarah gitar angkat tangan,"['ya', 'nama', 'bantu', 'sarah', 'gitar', 'angkat', 'tangan']",positif,3
101,116,2023,  kita gak kenal tp kita sepemikiran,kenal pikir,"['kenal', 'pikir']",netral,0
103,119,2023,"gausah dengerin orang ka sarah, i like everything about u!",dengar orang kak sarah i like everything about lu,"['dengar', 'orang', 'kak', 'sarah', 'i', 'like', 'everything', 'about', 'lu']",positif,2
104,120,2023,Mantep bgt tp cuma dkitğ??¢ğ??¢,mantap banget dkit wajah menang wajah menang,"['mantap', 'banget', 'dkit', 'wajah', 'menang', 'wajah', 'menang']",positif,3
105,121,2023,Ga bahaya ta,bahaya ta,"['bahaya', 'ta']",negatif,-8
106,122,2023,Itu pantyliner gak sih,pantyliner sih,"['pantyliner', 'sih']",netral,0
107,124,2023,Siapanya ivan laf tu cowo?,siapa ivan laf cowok,"['siapa', 'ivan', 'laf', 'cowok']",negatif,-1
108,125,2023,Ihh kirain lagi pacaran ka sarah ğ??? ehh ko cocok sihh ğ?¤­  .id,ih pacar kak sarah wajah gembira urai air mata eh cocok sih wajah dengan tangan tutup mulut id,"['ih', 'pacar', 'kak', 'sarah', 'wajah', 'gembira', 'urai', 'air', 'mata', 'eh', 'cocok', 'sih', 'wajah', 'dengan', 'tangan', 'tutup', 'mulut', 'id']",negatif,-3
109,127,2023,"Lebih respect sarah yg dulu, kalo skrg jd kesan nya jual belahan ğ???",respect sarah kalo kesan nya jual bahan jempol ke bawah,"['respect', 'sarah', 'kalo', 'kesan', 'nya', 'jual', 'bahan', 'jempol', 'ke', 'bawah']",positif,2
110,129,2023,"Gini klu duit nya banyak, klu lgi mens di beliin rumah, sama di kasih duit.. ntr duit nya di jadiin pembalut ğ???ğ???ğ???",duit nya mens belikan rumah kasih duit entar duit nya jadi balut wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata,"['duit', 'nya', 'mens', 'belikan', 'rumah', 'kasih', 'duit', 'entar', 'duit', 'nya', 'jadi', 'balut', 'wajah', 'gembira', 'urai', 'air', 'mata', 'wajah', 'gembira', 'urai', 'air', 'mata', 'wajah', 'gembira', 'urai', 'air', 'mata']",negatif,-4
111,130,2023,Bang sakit perut ga pas minum kiranti,bang sakit perut pas minum kiranti,"['bang', 'sakit', 'perut', 'pas', 'minum', 'kiranti']",negatif,-2
112,131,2023,Emang boleh sekendor itu?,sekendor,['sekendor'],netral,0
113,132,2023,"Pake baju begini bikin konten joget 2 kek, malah lari lari, kan aku bayanginnya susah",pakai baju bikin konten joget kayak lari lari bayanginnya susah,"['pakai', 'baju', 'bikin', 'konten', 'joget', 'kayak', 'lari', 'lari', 'bayanginnya', 'susah']",negatif,-8
114,134,2023,Lahh itukan cowok ditakeme out,itu cowok ditakeme out,"['itu', 'cowok', 'ditakeme', 'out']",negatif,-2
115,135,2023,Ciri" clbk nihğ???,ciri clbk nih wajah gembira urai air mata,"['ciri', 'clbk', 'nih', 'wajah', 'gembira', 'urai', 'air', 'mata']",negatif,-1
116,136,2023,Apa coba,coba,['coba'],positif,1
117,137,2023,Tulisan di mic sarah " sarahmonic ",tulis mic sarah sarahmonic,"['tulis', 'mic', 'sarah', 'sarahmonic']",netral,0
118,138,2023,gw mau nanya  .id sebenarnya konten kaya gini buat apan ya ? ğ??,gue id konten kayak apan ya lipat tangan,"['gue', 'id', 'konten', 'kayak', 'apan', 'ya', 'lipat', 'tangan']",negatif,-2
